,AHETPI,CPILEGNS,CPILEGSL,GS5,PCE,PCEC96,TB3MS
1995-01-01,11.49,156.500,156.500,7.76,4878.4,6003.1,5.71
1995-02-01,11.53,157.200,157.000,7.37,4877.0,5989.9,5.77
1995-03-01,11.55,157.800,157.300,7.05,4910.6,6019.9,5.73
1995-04-01,11.57,158.300,157.900,6.86,4914.5,6009.1,5.65
1995-05-01,11.59,158.300,158.300,6.41,4956.8,6051.7,5.67
1995-06-01,11.63,158.300,158.500,5.93,5001.2,6099.8,5.47
1995-07-01,11.68,158.500,158.800,6.01,4994.2,6083.0,5.42
1995-08-01,11.69,159.000,159.200,6.24,5029.6,6112.7,5.40
1995-09-01,11.72,159.500,159.600,6.00,5044.9,6127.2,5.28
1995-10-01,11.76,160.200,160.100,5.86,5038.1,6103.9,5.28
1995-11-01,11.78,160.300,160.300,5.69,5079.9,6154.6,5.36
1995-12-01,11.81,160.200,160.500,5.51,5122.2,6193.3,5.14
1996-01-01,11.86,161.000,161.000,5.36,5111.1,6165.0,5.00
1996-02-01,11.87,161.600,161.400,5.38,5158.7,6212.2,4.83
1996-03-01,11.89,162.300,161.900,5.97,5199.7,6243.3,4.96
1996-04-01,11.95,162.500,162.100,6.30,5235.6,6268.4,4.95
1996-05-01,11.98,162.500,162.400,6.48,5251.9,6277.4,5.02
1996-06-01,12.04,162.700,162.900,6.69,5258.9,6285.4,5.09
1996-07-01,12.06,163.100,163.300,6.64,5281.4,6297.6,5.15
1996-08-01,12.09,163.400,163.600,6.39,5305.1,6319.0,5.05
1996-09-01,12.14,164.000,164.100,6.60,5326.8,6327.3,5.09
1996-10-01,12.16,164.700,164.500,6.27,5359.2,6347.1,4.99
1996-11-01,12.21,164.900,165.000,5.97,5383.6,6363.7,5.03
1996-12-01,12.25,164.800,165.200,6.07,5411.3,6387.4,4.91
1997-01-01,12.29,165.300,165.400,6.33,5445.2,6416.9,5.03
1997-02-01,12.32,165.900,165.800,6.20,5468.3,6429.1,5.01
1997-03-01,12.37,166.500,166.100,6.54,5487.7,6444.6,5.14
1997-04-01,12.38,166.800,166.400,6.76,5491.9,6443.3,5.16
1997-05-01,12.43,166.800,166.700,6.57,5493.0,6447.0,5.05
1997-06-01,12.47,166.700,166.900,6.38,5527.0,6478.4,4.93
1997-07-01,12.50,167.000,167.200,6.12,5582.5,6539.3,5.05
1997-08-01,12.57,167.300,167.400,6.16,5621.7,6579.2,5.14
1997-09-01,12.59,167.600,167.700,6.11,5635.8,6579.5,4.95
1997-10-01,12.67,168.300,168.100,5.93,5671.5,6611.7,4.97
1997-11-01,12.72,168.300,168.400,5.80,5695.7,6637.6,5.14
1997-12-01,12.75,168.300,168.700,5.77,5727.2,6674.2,5.16
1998-01-01,12.79,169.000,169.200,5.42,5725.6,6668.7,5.04
1998-02-01,12.84,169.600,169.400,5.49,5760.0,6711.7,5.09
1998-03-01,12.88,170.100,169.700,5.61,5786.9,6741.2,5.03
1998-04-01,12.92,170.400,170.000,5.61,5825.1,6775.5,4.95
1998-05-01,12.96,170.500,170.400,5.63,5875.7,6823.8,5.00
1998-06-01,12.99,170.500,170.600,5.52,5909.9,6868.4,4.98
1998-07-01,13.01,170.800,171.000,5.46,5928.9,6873.4,4.96
1998-08-01,13.09,171.200,171.400,5.27,5965.9,6906.1,4.90
1998-09-01,13.11,171.600,171.600,4.62,6009.3,6959.7,4.61
1998-10-01,13.14,172.200,172.000,4.18,6046.9,6987.0,3.96
1998-11-01,13.18,172.300,172.300,4.54,6065.9,7007.3,4.41
1998-12-01,13.21,172.300,172.800,4.45,6121.9,7062.9,4.39
1999-01-01,13.27,172.900,173.100,4.60,6125.5,7053.2,4.34
1999-02-01,13.30,173.200,173.200,4.91,6155.6,7088.4,4.44
1999-03-01,13.34,173.700,173.200,5.14,6191.2,7123.4,4.44
1999-04-01,13.38,174.200,173.800,5.08,6258.0,7166.3,4.29
1999-05-01,13.43,174.100,174.000,5.44,6290.8,7200.3,4.50
1999-06-01,13.47,174.000,174.100,5.81,6321.0,7233.0,4.57
1999-07-01,13.52,174.300,174.500,5.68,6351.8,7248.9,4.55
1999-08-01,13.55,174.500,174.700,5.84,6396.9,7288.2,4.72
1999-09-01,13.61,175.100,175.200,5.80,6447.9,7322.1,4.68
1999-10-01,13.64,175.700,175.500,6.03,6467.7,7334.9,4.86
1999-11-01,13.66,175.800,175.800,5.97,6503.7,7369.7,5.07
1999-12-01,13.70,175.700,176.100,6.19,6603.1,7462.9,5.20
2000-01-01,13.75,176.300,176.600,6.58,6602.8,7438.9,5.32
2000-02-01,13.80,176.900,176.800,6.68,6689.2,7510.8,5.55
2000-03-01,13.85,177.800,177.300,6.50,6757.0,7554.0,5.69
2000-04-01,13.91,178.100,177.600,6.26,6740.1,7543.2,5.66
2000-05-01,13.94,178.200,178.100,6.69,6775.6,7578.2,5.79
2000-06-01,13.98,178.300,178.400,6.30,6811.2,7594.0,5.69
2000-07-01,14.03,178.700,178.900,6.18,6832.2,7600.3,5.96
2000-08-01,14.07,179.100,179.300,6.06,6864.7,7638.7,6.09
2000-09-01,14.12,179.600,179.700,5.93,6948.3,7698.6,6.00
2000-10-01,14.18,180.100,179.900,5.78,6955.4,7695.9,6.11
2000-11-01,14.23,180.300,180.300,5.70,6970.7,7702.1,6.17
2000-12-01,14.28,180.200,180.700,5.17,7017.2,7742.7,5.77
2001-01-01,14.29,181.000,181.200,4.86,7047.7,7740.6,5.15
2001-02-01,14.38,181.800,181.800,4.89,7066.5,7750.0,4.88
2001-03-01,14.42,182.600,182.200,4.64,7060.1,7742.2,4.42
2001-04-01,14.45,182.900,182.500,4.76,7079.9,7749.6,3.87
2001-05-01,14.50,182.900,182.800,4.93,7130.8,7784.1,3.62
2001-06-01,14.55,183.300,183.400,4.81,7145.3,7786.9,3.49
2001-07-01,14.56,183.600,183.900,4.76,7156.5,7803.8,3.51
2001-08-01,14.60,184.100,184.200,4.57,7195.8,7848.4,3.36
2001-09-01,14.64,184.500,184.500,4.12,7101.4,7771.0,2.64
2001-10-01,14.66,185.100,184.900,3.91,7298.6,7958.4,2.16
2001-11-01,14.72,185.400,185.500,3.97,7259.9,7921.6,1.87
2001-12-01,14.75,185.200,185.700,4.39,7243.0,7910.1,1.69
2002-01-01,14.76,185.700,186.000,4.34,7275.0,7937.3,1.65
2002-02-01,14.79,186.500,186.400,4.30,7316.7,7969.1,1.73
2002-03-01,14.82,187.100,186.600,4.74,7335.2,7965.6,1.79
2002-04-01,14.83,187.500,187.000,4.65,7402.9,8004.1,1.72
2002-05-01,14.88,187.400,187.200,4.49,7380.6,7974.5,1.73
2002-06-01,14.95,187.300,187.400,4.19,7426.7,8014.6,1.70
2002-07-01,14.98,187.500,187.700,3.81,7484.4,8059.4,1.68
2002-08-01,15.02,188.100,188.200,3.29,7507.3,8068.9,1.62
2002-09-01,15.07,188.400,188.400,2.94,7481.9,8027.6,1.63
2002-10-01,15.12,188.800,188.500,2.95,7517.6,8050.5,1.58
2002-11-01,15.15,188.900,188.900,3.05,7543.9,8070.0,1.23
2002-12-01,15.21,188.600,189.200,3.03,7598.1,8121.2,1.19
2003-01-01,15.22,189.000,189.400,3.05,7631.3,8135.1,1.17
2003-02-01,15.29,189.700,189.600,2.90,7630.6,8100.5,1.17
2003-03-01,15.29,190.200,189.700,2.78,7678.8,8131.3,1.13
2003-04-01,15.28,190.200,189.700,2.93,7701.1,8169.1,1.13
2003-05-01,15.34,190.300,190.100,2.52,7710.1,8190.3,1.07
2003-06-01,15.36,190.300,190.400,2.27,7760.3,8234.0,0.92
2003-07-01,15.40,190.500,190.700,2.87,7819.6,8273.8,0.90
2003-08-01,15.42,190.800,191.000,3.37,7913.2,8343.8,0.95
2003-09-01,15.42,191.000,191.100,3.18,7914.7,8318.8,0.94
2003-10-01,15.43,191.700,191.500,3.19,7917.3,8323.1,0.92
2003-11-01,15.47,191.600,191.700,3.29,7972.3,8371.6,0.93
2003-12-01,15.48,191.500,192.000,3.27,7998.9,8379.4,0.90
2004-01-01,15.52,191.900,192.300,3.12,8071.1,8421.8,0.88
2004-02-01,15.52,192.700,192.600,3.07,8098.3,8428.8,0.93
2004-03-01,15.57,193.700,193.200,2.79,8146.5,8462.3,0.94
2004-04-01,15.60,194.100,193.600,3.39,8157.7,8460.1,0.94
2004-05-01,15.64,194.300,194.100,3.85,8240.9,8515.1,1.02
2004-06-01,15.67,194.400,194.400,3.93,8229.6,8474.5,1.27
2004-07-01,15.71,194.500,194.700,3.69,8290.2,8523.8,1.33
2004-08-01,15.75,194.700,194.800,3.47,8311.3,8538.7,1.48
2004-09-01,15.79,195.200,195.200,3.36,8390.5,8605.0,1.65
2004-10-01,15.82,196.000,195.800,3.35,8443.9,8625.0,1.76
2004-11-01,15.85,196.000,196.200,3.53,8489.5,8640.2,2.07
2004-12-01,15.87,195.800,196.400,3.60,8551.3,8697.6,2.19
2005-01-01,15.91,196.400,196.800,3.71,8557.2,8692.3,2.33
2005-02-01,15.94,197.300,197.200,3.77,8614.0,8724.1,2.54
2005-03-01,15.98,198.300,197.800,4.17,8657.8,8740.5,2.74
2005-04-01,16.02,198.600,198.100,4.00,8746.6,8802.2,2.78
2005-05-01,16.05,198.600,198.400,3.85,8705.9,8763.8,2.84
2005-06-01,16.08,198.500,198.500,3.77,8789.1,8842.8,2.97
2005-07-01,16.16,198.700,198.800,3.98,8880.5,8896.2,3.22
2005-08-01,16.18,198.900,199.000,4.12,8892.9,8867.8,3.44
2005-09-01,16.21,199.200,199.200,4.01,8953.1,8832.7,3.42
2005-10-01,16.30,200.100,199.800,4.33,8990.5,8852.8,3.71
2005-11-01,16.32,200.200,200.400,4.45,9002.0,8887.2,3.88
2005-12-01,16.37,200.100,200.700,4.39,9038.5,8925.4,3.89
2006-01-01,16.43,200.800,201.100,4.35,9115.5,8961.4,4.24
2006-02-01,16.50,201.600,201.500,4.57,9145.6,8987.5,4.43
2006-03-01,16.55,202.600,202.100,4.72,9183.6,9010.9,4.51
2006-04-01,16.65,203.000,202.600,4.90,9236.9,9027.2,4.60
2006-05-01,16.66,203.300,203.100,5.00,9267.3,9033.9,4.72
2006-06-01,16.73,203.600,203.600,5.07,9295.6,9044.0,4.79
2006-07-01,16.79,203.900,204.000,5.04,9372.7,9089.6,4.95
2006-08-01,16.83,204.400,204.500,4.82,9389.1,9070.4,4.96
2006-09-01,16.88,204.900,204.900,4.67,9413.5,9112.1,4.81
2006-10-01,16.95,205.600,205.400,4.69,9440.7,9159.1,4.92
2006-11-01,16.99,205.300,205.500,4.58,9460.5,9166.7,4.94
2006-12-01,17.06,205.100,205.800,4.53,9551.0,9219.1,4.85
2007-01-01,17.11,205.993,206.386,4.75,9588.2,9227.1,4.98
2007-02-01,17.17,207.106,207.043,4.71,9631.3,9234.9,5.03
2007-03-01,17.23,207.850,207.353,4.48,9678.9,9243.5,4.94
2007-04-01,17.28,208.243,207.781,4.59,9720.2,9261.8,4.87
2007-05-01,17.34,208.400,208.199,4.67,9763.8,9276.4,4.73
2007-06-01,17.43,208.636,208.635,5.03,9775.7,9273.2,4.61
2007-07-01,17.48,208.980,209.108,4.88,9810.2,9289.0,4.82
2007-08-01,17.52,209.399,209.489,4.43,9846.1,9315.0,4.20
