"Variables ->","y","py"
"Comments ->","Real Gross Domestic Product","Gross Domestic Product: Chain-type Price Index"
"Class[Size] ->","Series[301-by-1]","Series[301-by-1]"
"1947Q1",2.03445000e+03,1.19610000e+01
"1947Q2",2.02902400e+03,1.21240000e+01
"1947Q3",2.02483400e+03,1.23150000e+01
"1947Q4",2.05650800e+03,1.25690000e+01
"1948Q1",2.08744200e+03,1.27130000e+01
"1948Q2",2.12189900e+03,1.28640000e+01
"1948Q3",2.13405600e+03,1.30880000e+01
"1948Q4",2.13644000e+03,1.30830000e+01
"1949Q1",2.10700100e+03,1.30410000e+01
"1949Q2",2.09981400e+03,1.29600000e+01
"1949Q3",2.12149300e+03,1.28670000e+01
"1949Q4",2.10368800e+03,1.28640000e+01
"1950Q1",2.18636500e+03,1.28280000e+01
"1950Q2",2.25304500e+03,1.28820000e+01
"1950Q3",2.34011200e+03,1.31500000e+01
"1950Q4",2.38492000e+03,1.33600000e+01
"1951Q1",2.41731100e+03,1.38120000e+01
"1951Q2",2.45919600e+03,1.38920000e+01
"1951Q3",2.50988000e+03,1.39370000e+01
"1951Q4",2.51540800e+03,1.41200000e+01
"1952Q1",2.54228600e+03,1.41370000e+01
"1952Q2",2.54776200e+03,1.41920000e+01
"1952Q3",2.56615300e+03,1.42990000e+01
"1952Q4",2.65043100e+03,1.43490000e+01
"1953Q1",2.69969900e+03,1.43630000e+01
"1953Q2",2.72056600e+03,1.43970000e+01
"1953Q3",2.70525800e+03,1.44510000e+01
"1953Q4",2.66430200e+03,1.44940000e+01
"1954Q1",2.65156600e+03,1.45550000e+01
"1954Q2",2.65445600e+03,1.45820000e+01
"1954Q3",2.68443400e+03,1.45690000e+01
"1954Q4",2.73696000e+03,1.45880000e+01
"1955Q1",2.81513400e+03,1.46430000e+01
"1955Q2",2.86094200e+03,1.47250000e+01
"1955Q3",2.89957800e+03,1.48260000e+01
"1955Q4",2.91698500e+03,1.49240000e+01
"1956Q1",2.90565600e+03,1.50710000e+01
"1956Q2",2.92966600e+03,1.52140000e+01
"1956Q3",2.92703400e+03,1.53810000e+01
"1956Q4",2.97520900e+03,1.54760000e+01
"1957Q1",2.99425900e+03,1.56530000e+01
"1957Q2",2.98769900e+03,1.57640000e+01
"1957Q3",3.01697900e+03,1.58850000e+01
"1957Q4",2.98577500e+03,1.59780000e+01
"1958Q1",2.90828100e+03,1.61120000e+01
"1958Q2",2.92739500e+03,1.61810000e+01
"1958Q3",2.99511200e+03,1.62200000e+01
"1958Q4",3.06514100e+03,1.62400000e+01
"1959Q1",3.12397800e+03,1.63160000e+01
"1959Q2",3.19442900e+03,1.63630000e+01
"1959Q3",3.19668300e+03,1.64320000e+01
"1959Q4",3.20579000e+03,1.64960000e+01
"1960Q1",3.27784700e+03,1.65270000e+01
"1960Q2",3.26017700e+03,1.65860000e+01
"1960Q3",3.27613300e+03,1.66580000e+01
"1960Q4",3.23408700e+03,1.67310000e+01
"1961Q1",3.25591400e+03,1.67510000e+01
"1961Q2",3.31118100e+03,1.67840000e+01
"1961Q3",3.37474200e+03,1.68190000e+01
"1961Q4",3.44092400e+03,1.68580000e+01
"1962Q1",3.50229800e+03,1.69420000e+01
"1962Q2",3.53394700e+03,1.69890000e+01
"1962Q3",3.57736200e+03,1.70290000e+01
"1962Q4",3.58912800e+03,1.70700000e+01
"1963Q1",3.62830600e+03,1.71540000e+01
"1963Q2",3.66902000e+03,1.71690000e+01
"1963Q3",3.74968100e+03,1.71880000e+01
"1963Q4",3.77426400e+03,1.73000000e+01
"1964Q1",3.85383500e+03,1.73650000e+01
"1964Q2",3.89579300e+03,1.74160000e+01
"1964Q3",3.95665700e+03,1.75020000e+01
"1964Q4",3.96887800e+03,1.75770000e+01
"1965Q1",4.06491500e+03,1.76530000e+01
"1965Q2",4.11626700e+03,1.77360000e+01
"1965Q3",4.20778200e+03,1.78160000e+01
"1965Q4",4.30473100e+03,1.79340000e+01
"1966Q1",4.40951800e+03,1.80430000e+01
"1966Q2",4.42458100e+03,1.82060000e+01
"1966Q3",4.46205300e+03,1.83660000e+01
"1966Q4",4.49866000e+03,1.85160000e+01
"1967Q1",4.53849800e+03,1.85930000e+01
"1967Q2",4.54128000e+03,1.87050000e+01
"1967Q3",4.58424600e+03,1.88730000e+01
"1967Q4",4.61881200e+03,1.90820000e+01
"1968Q1",4.71301300e+03,1.92900000e+01
"1968Q2",4.79175800e+03,1.95060000e+01
"1968Q3",4.82889200e+03,1.96930000e+01
"1968Q4",4.84788500e+03,1.99670000e+01
"1969Q1",4.92376000e+03,2.01670000e+01
"1969Q2",4.93872800e+03,2.04330000e+01
"1969Q3",4.97134900e+03,2.07240000e+01
"1969Q4",4.94710400e+03,2.09830000e+01
"1970Q1",4.93975900e+03,2.12720000e+01
"1970Q2",4.94677000e+03,2.15790000e+01
"1970Q3",4.99235700e+03,2.17560000e+01
"1970Q4",4.93885700e+03,2.20410000e+01
"1971Q1",5.07299600e+03,2.23750000e+01
"1971Q2",5.10044700e+03,2.26740000e+01
"1971Q3",5.14242200e+03,2.29030000e+01
"1971Q4",5.15454700e+03,2.30920000e+01
"1972Q1",5.24933700e+03,2.34630000e+01
"1972Q2",5.36848500e+03,2.36060000e+01
"1972Q3",5.41918400e+03,2.38200000e+01
"1972Q4",5.50992600e+03,2.40900000e+01
"1973Q1",5.64628600e+03,2.43960000e+01
"1973Q2",5.70775500e+03,2.48000000e+01
"1973Q3",5.67773800e+03,2.52730000e+01
"1973Q4",5.73163200e+03,2.57110000e+01
"1974Q1",5.68235300e+03,2.62320000e+01
"1974Q2",5.69585900e+03,2.68150000e+01
"1974Q3",5.64202500e+03,2.76410000e+01
